COD. ARTIC.;NOMBRE;STOCK;LISTA 1;LISTA 2;LISTA 3;LISTA 4;CATEGORIA
1836;PARLANTE GTC SPG-138 USB RGB;50,000;1699,08;1599,14;1499,19;1299,30;PARLANTE PORTATIL
1837;AURICULAR GTC HSG-615 GAMING PLAY TO WIN ;110,000;2912,71;2741,38;2570,04;2227,37;AURICULAR
1838;AURICULAR GTC HSG-616 GAMING PLAY TO WIN ;110,000;2305,90;2170,26;2034,62;1763,33;AURICULAR
1839;AURICULAR GTC HSG-617 GAMING PLAY TO WIN ;110,000;3034,08;2855,60;2677,13;2320,18;AURICULAR
1840;MOUSE PAD GTC PAD-212A ERGONOMICO AZUL;190,000;849,54;799,57;749,60;649,65;PAD PARA MOUSE
1841;AURICULAR GTC HSG-618 GAMING PLAY TO WIN ;110,000;4611,79;4340,51;4069,23;3526,67;AURICULAR
1842;MOUSE GTC MGG-022 GAMER PLAY TO WIN;50,000;2438,29;2294,86;2151,44;1864,58;MOUSE
1843;SMART BAND GTC SWG-001;50,000;3155,44;2969,82;2784,21;2412,98;RELOJ SMARTWATCH
1844;SOPORTE ESTABILIZADOR GTC MPG-014 PARA CELULAR;50,000;8738,14;8224,13;7710,12;6682,10;ACCESORIO CELULAR
1845;AURICULAR GTC HSG-184 TWS INTERNO;100,000;6553,60;6168,10;5782,59;5011,58;AURICULAR
1846;SOFTWARE AUTOGESTION DE CLUB;10,000;0,00;0,00;0,00;0,00;SERVICIO TECNICO
1847;DISPLAY 14.0 Led M140nwr2;10,000;16062,75;14991,90;13921,05;12850,20;REPUESTOS
1848;SILLA DE OFICINA SATE GC8708 PREMIUM;0,0000;56755,05;52971,38;49187,71;45404,04;ACCESORIO GAMER
1849;UBIQUITI ACCESS POINT WMM NETWORKS UNIFI AP UAP-AC;0,0000;20927,60;19532,42;18137,25;16742,08;CONECTIVIDAD
1850;SWITCH MIKROTIK CSS326-24G2S+RM;0,0000;54763,80;51112,88;47461,96;43811,04;CONECTIVIDAD
